"recording time (s): [0.01 ,50]"
" "
"Spike statistics for wells"
"","treatment","nAE","nspikes_by_well","meanfiringrate_by_well","meanfiringrate_by_all_ectctordes","meanfiringrate_by_active_electordes","sdfiringrate_by_active_electordes","meanisis","sdisis"
"A1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","treatX","13","5303","105.957602572874","6.6223501608046","8.15058481329797","7.26208760190432","0.0678302759924386","0.765112128030085"
"B3","treatX","16","8315","166.139442842437","10.3837151776523","10.3837151776523","10.6934065931373","0.0382887094830702","0.279820403420932"
"B4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B5","untreated","10","521","10.4099398341443","0.650621239634018","1.04099398341443","0.858495666533505","0.159605636007828","0.442483034599707"
"B6","treatY","12","2894","57.8241187716191","3.61400742322619","4.81867656430159","5.10990885960835","0.170823122831367","0.78971055228489"
"B7","treatY","12","2381","47.5740244627592","2.97337652892245","3.96450203856327","4.01430160867985","0.238391523849726","0.660185135549944"
"B8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2","treatX","14","2658","53.1086757757303","3.31929223598315","3.79347684112359","3.39130526918442","0.108318335854766","1.22568350780869"
"C3","treatX","13","5416","108.215420617515","6.7634637885947","8.32426312442425","6.88600589745153","0.0717442754025541","0.667887842258015"
"C4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C6","treatY","10","2081","41.5798172645955","2.59873857903722","4.15798172645955","2.70930519409603","0.22911439884114","1.06114385958684"
"C7","treatY","13","2021","40.3809758249628","2.52381098906017","3.10622890961252","3.70761277554831","0.267044940239044","1.11129036887721"
"C8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2","treatX","14","9489","189.596773677918","11.8497983548699","13.5426266912798","10.0740829094226","0.0503020073878628","0.599292976449062"
"D3","treatX","15","7326","146.378539779157","9.14865873619734","9.75856931861049","7.47146090015917","0.0341866228970045","0.47196413836668"
"D4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D6","treatY","13","3053","61.0010485866459","3.81256553666537","4.69238835281891","4.32139002328544","0.171621421052632","1.23384813935776"
"D7","treatY","12","3396","67.854425483213","4.24090159270081","5.65453545693442","9.11302313438966","0.158271631205674","0.666055313802965"
"D8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2","treatX","15","5203","103.959533506819","6.49747084417619","6.93063556712127","7.7564496539708","0.110678565921357","1.07580843675674"
"E3","treatX","15","6531","130.493890704024","8.15586816900148","8.69959271360158","9.3330292804424","0.0828146224677716","0.820195705896437"
"E4","untreated","15","7548","150.814253105799","9.42589081911241","10.0542835403866","11.4724421062358","0.0938737289260587","0.934450230551282"
"E5","untreated","12","1615","32.2688154167812","2.01680096354883","2.68906795139844","2.88205236733199","0.0367727011852776","0.134297141520591"
"E6","treatY","13","4290","85.7171629337408","5.3573226833588","6.59362791798006","8.76531211891384","0.125721449614216","0.759619944326054"
"E7","treatY","14","3975","79.423245375669","4.96395283597931","5.67308895540492","6.25537987478743","0.163852279727342","0.671452630621674"
"E8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F8",NA,NA,NA,NA,NA,NA,NA,NA,NA
" "
"Spike statistics for electrodes"
"electrode","nspikes","meanfiringrate","meanisis","sdisis"
"A1_11",NA,NA,NA,NA
"A1_12",NA,NA,NA,NA
"A1_13",NA,NA,NA,NA
"A1_14",NA,NA,NA,NA
"A1_21",NA,NA,NA,NA
"A1_22",NA,NA,NA,NA
"A1_23",NA,NA,NA,NA
"A1_24",NA,NA,NA,NA
"A1_31",NA,NA,NA,NA
"A1_32",NA,NA,NA,NA
"A1_33",NA,NA,NA,NA
"A1_34",NA,NA,NA,NA
"A1_41",NA,NA,NA,NA
"A1_42",NA,NA,NA,NA
"A1_43",NA,NA,NA,NA
"A1_44",NA,NA,NA,NA
"A2_11",NA,NA,NA,NA
"A2_12",NA,NA,NA,NA
"A2_13",NA,NA,NA,NA
"A2_14",NA,NA,NA,NA
"A2_21",NA,NA,NA,NA
"A2_22",NA,NA,NA,NA
"A2_23",NA,NA,NA,NA
"A2_24",NA,NA,NA,NA
"A2_31",NA,NA,NA,NA
"A2_32",NA,NA,NA,NA
"A2_33",NA,NA,NA,NA
"A2_34",NA,NA,NA,NA
"A2_41",NA,NA,NA,NA
"A2_42",NA,NA,NA,NA
"A2_43",NA,NA,NA,NA
"A2_44",NA,NA,NA,NA
"A3_11",NA,NA,NA,NA
"A3_12",NA,NA,NA,NA
"A3_13",NA,NA,NA,NA
"A3_14",NA,NA,NA,NA
"A3_21",NA,NA,NA,NA
"A3_22",NA,NA,NA,NA
"A3_23",NA,NA,NA,NA
"A3_24",NA,NA,NA,NA
"A3_31",NA,NA,NA,NA
"A3_32",NA,NA,NA,NA
"A3_33",NA,NA,NA,NA
"A3_34",NA,NA,NA,NA
"A3_41",NA,NA,NA,NA
"A3_42",NA,NA,NA,NA
"A3_43",NA,NA,NA,NA
"A3_44",NA,NA,NA,NA
"A4_11",NA,NA,NA,NA
"A4_12",NA,NA,NA,NA
"A4_13",NA,NA,NA,NA
"A4_14",NA,NA,NA,NA
"A4_21",NA,NA,NA,NA
"A4_22",NA,NA,NA,NA
"A4_23",NA,NA,NA,NA
"A4_24",NA,NA,NA,NA
"A4_31",NA,NA,NA,NA
"A4_32",NA,NA,NA,NA
"A4_33",NA,NA,NA,NA
"A4_34",NA,NA,NA,NA
"A4_41",NA,NA,NA,NA
"A4_42",NA,NA,NA,NA
"A4_43",NA,NA,NA,NA
"A4_44",NA,NA,NA,NA
"A5_11",NA,NA,NA,NA
"A5_12",NA,NA,NA,NA
"A5_13",NA,NA,NA,NA
"A5_14",NA,NA,NA,NA
"A5_21",NA,NA,NA,NA
"A5_22",NA,NA,NA,NA
"A5_23",NA,NA,NA,NA
"A5_24",NA,NA,NA,NA
"A5_31",NA,NA,NA,NA
"A5_32",NA,NA,NA,NA
"A5_33",NA,NA,NA,NA
"A5_34",NA,NA,NA,NA
"A5_41",NA,NA,NA,NA
"A5_42",NA,NA,NA,NA
"A5_43",NA,NA,NA,NA
"A5_44",NA,NA,NA,NA
"A6_11",NA,NA,NA,NA
"A6_12",NA,NA,NA,NA
"A6_13",NA,NA,NA,NA
"A6_14",NA,NA,NA,NA
"A6_21",NA,NA,NA,NA
"A6_22",NA,NA,NA,NA
"A6_23",NA,NA,NA,NA
"A6_24",NA,NA,NA,NA
"A6_31",NA,NA,NA,NA
"A6_32",NA,NA,NA,NA
"A6_33",NA,NA,NA,NA
"A6_34",NA,NA,NA,NA
"A6_41",NA,NA,NA,NA
"A6_42",NA,NA,NA,NA
"A6_43",NA,NA,NA,NA
"A6_44",NA,NA,NA,NA
"A7_11",NA,NA,NA,NA
"A7_12",NA,NA,NA,NA
"A7_13",NA,NA,NA,NA
"A7_14",NA,NA,NA,NA
"A7_21",NA,NA,NA,NA
"A7_22",NA,NA,NA,NA
"A7_23",NA,NA,NA,NA
"A7_24",NA,NA,NA,NA
"A7_31",NA,NA,NA,NA
"A7_32",NA,NA,NA,NA
"A7_33",NA,NA,NA,NA
"A7_34",NA,NA,NA,NA
"A7_41",NA,NA,NA,NA
"A7_42",NA,NA,NA,NA
"A7_43",NA,NA,NA,NA
"A7_44",NA,NA,NA,NA
"A8_11",NA,NA,NA,NA
"A8_12",NA,NA,NA,NA
"A8_13",NA,NA,NA,NA
"A8_14",NA,NA,NA,NA
"A8_21",NA,NA,NA,NA
"A8_22",NA,NA,NA,NA
"A8_23",NA,NA,NA,NA
"A8_24",NA,NA,NA,NA
"A8_31",NA,NA,NA,NA
"A8_32",NA,NA,NA,NA
"A8_33",NA,NA,NA,NA
"A8_34",NA,NA,NA,NA
"A8_41",NA,NA,NA,NA
"A8_42",NA,NA,NA,NA
"A8_43",NA,NA,NA,NA
"A8_44",NA,NA,NA,NA
"B1_11",NA,NA,NA,NA
"B1_12",NA,NA,NA,NA
"B1_13",NA,NA,NA,NA
"B1_14",NA,NA,NA,NA
"B1_21",NA,NA,NA,NA
"B1_22",NA,NA,NA,NA
"B1_23",NA,NA,NA,NA
"B1_24",NA,NA,NA,NA
"B1_31",NA,NA,NA,NA
"B1_32",NA,NA,NA,NA
"B1_33",NA,NA,NA,NA
"B1_34",NA,NA,NA,NA
"B1_41",NA,NA,NA,NA
"B1_42",NA,NA,NA,NA
"B1_43",NA,NA,NA,NA
"B1_44",NA,NA,NA,NA
"B2_11","113","2.25781804464166","0.230965","1.65090800638714"
"B2_12","903","18.0425636664727","0.0328245676274945","0.528935479938552"
"B2_13","867","17.3232588026931","0.0462499769053118","0.443849871126702"
"B2_14","269","5.37480578768678","0.109810746268657","0.959311804289736"
"B2_21","109","2.17789528199948","0.247748148148148","1.64895322813247"
"B2_22","669","13.367082051905","0.0443146107784431","0.613695551408993"
"B2_23","319","6.37384032071406","0.0913320754716981","0.901520974429532"
"B2_24",NA,NA,NA,NA
"B2_31","44","0.879150389064008","0.648561860465116","2.65453063879497"
"B2_32","854","17.063509824106","0.0408322626025791","0.391921927391297"
"B2_33","870","17.3832008746747","0.0338834522439586","0.54189088588022"
"B2_34",NA,NA,NA,NA
"B2_41","85","1.69835870614638","0.331446666666667","1.96645287162967"
"B2_42",NA,NA,NA,NA
"B2_43","2","0.0399613813210913","0.0131199999999989",NA
"B2_44","199","3.97615744144858","0.143659393939394","1.21513471366969"
"B3_11","1554","31.0499932864879","0.0133876110753381","0.104103019693486"
"B3_12","187","3.73638915352204","0.154191827956989","0.705072248024228"
"B3_13","67","1.33870627425656","0.312419393939394","0.950211015871056"
"B3_14","1235","24.6761529657739","0.0169091085899514","0.10828998384051"
"B3_21","302","6.03416857948479","0.0688470431893688","0.306595078261586"
"B3_22","186","3.71640846286149","0.163033945945946","0.725573355220978"
"B3_23","1412","28.2127352126905","0.0147478951098512","0.10471518539599"
"B3_24","285","5.69449683825551","0.0726819718309859","0.328405771272804"
"B3_31","180","3.59652431889822","0.111419441340782","0.431166731041472"
"B3_32","956","19.1015402714816","0.0217794345549738","0.14040934101748"
"B3_33","1022","20.4202658550777","0.0203618413320274","0.129054896012671"
"B3_34","38","0.759266245100735","0.530021621621622","1.54260232578572"
"B3_41","1","0.0199806906605456","NaN",NA
"B3_42","272","5.43474785966842","0.0739870110701107","0.338326975427284"
"B3_43","609","12.1682406122723","0.0334094736842105","0.187239414245077"
"B3_44","9","0.179826215944911","1.61994","2.55996981330417"
"B4_11",NA,NA,NA,NA
"B4_12",NA,NA,NA,NA
"B4_13",NA,NA,NA,NA
"B4_14",NA,NA,NA,NA
"B4_21",NA,NA,NA,NA
"B4_22",NA,NA,NA,NA
"B4_23",NA,NA,NA,NA
"B4_24",NA,NA,NA,NA
"B4_31",NA,NA,NA,NA
"B4_32",NA,NA,NA,NA
"B4_33",NA,NA,NA,NA
"B4_34",NA,NA,NA,NA
"B4_41",NA,NA,NA,NA
"B4_42",NA,NA,NA,NA
"B4_43",NA,NA,NA,NA
"B4_44",NA,NA,NA,NA
"B5_11","86","1.71833939680693","0.101054117647059","0.131857686733464"
"B5_12",NA,NA,NA,NA
"B5_13","103","2.0580111380362","0.0838086274509804","0.0745120120562564"
"B5_14",NA,NA,NA,NA
"B5_21","22","0.439575194532004","0.396022857142857","0.966614634159564"
"B5_22",NA,NA,NA,NA
"B5_23","107","2.13793390067838","0.0808679245283019","0.0922321475482691"
"B5_24",NA,NA,NA,NA
"B5_31","17","0.339671741229276","0.521325","0.812270329237748"
"B5_32","5","0.0999034533027282","1.54486","2.90610961197268"
"B5_33",NA,NA,NA,NA
"B5_34","104","2.07799182869675","0.0823238834951456","0.0962386428464547"
"B5_41","11","0.219787597266002","0.833128","1.03837463036977"
"B5_42","19","0.379633122550367","0.437555555555555","0.714873065015718"
"B5_43",NA,NA,NA,NA
"B5_44","47","0.939092461045645","0.180970434782609","0.321178875899788"
"B6_11",NA,NA,NA,NA
"B6_12","22","0.439575194532004","1.63408761904762","2.70828801291499"
"B6_13","123","2.45762495124711","0.377080655737705","0.695473776351744"
"B6_14",NA,NA,NA,NA
"B6_21","17","0.339671741229276","2.143855","5.53346088177252"
"B6_22","772","15.4250931899412","0.0604873670557717","0.238426581111379"
"B6_23",NA,NA,NA,NA
"B6_24","435","8.69160043733736","0.106567004608295","0.44271979428734"
"B6_31",NA,NA,NA,NA
"B6_32","587","11.7286654177403","0.0819500341296928","0.22630652829074"
"B6_33","9","0.179826215944911","4.00953","3.93842707409225"
"B6_34","48","0.959073151706191","0.759392340425532","1.59892891059067"
"B6_41","4","0.0799227626421826","9.65458666666667","2.1878914625121"
"B6_42","202","4.03609951343022","0.22843223880597","0.597711060532983"
"B6_43","356","7.11312587515425","0.130774309859155","0.455537415311105"
"B6_44","319","6.37384032071406","0.150034968553459","0.432601633316503"
"B7_11","152","3.03706498040294","0.329833642384106","0.453149388455924"
"B7_12","12","0.239768287926548","2.94010909090909","3.26873298027678"
"B7_13","284","5.67451614759496","0.175354346289753","0.290550051638146"
"B7_14","623","12.4479702815199","0.0769045659163987","0.213340863353794"
"B7_21","36","0.719304863779643","1.32813257142857","1.25866219562991"
"B7_22","172","3.43667879361385","0.284757426900585","0.428509030452361"
"B7_23","103","2.0580111380362","0.468310588235294","0.78556178587012"
"B7_24","558","11.1492253885845","0.0893193536804309","0.16091844956267"
"B7_31",NA,NA,NA,NA
"B7_32","113","2.25781804464166","0.433751428571429","0.762370311805402"
"B7_33",NA,NA,NA,NA
"B7_34","228","4.55559747060441","0.210725991189427","0.462448505516249"
"B7_41","80","1.59845525284365","0.613740759493671","0.692133593888607"
"B7_42",NA,NA,NA,NA
"B7_43","20","0.399613813210913","2.50243789473684","3.79160568801893"
"B7_44",NA,NA,NA,NA
"B8_11",NA,NA,NA,NA
"B8_12",NA,NA,NA,NA
"B8_13",NA,NA,NA,NA
"B8_14",NA,NA,NA,NA
"B8_21",NA,NA,NA,NA
"B8_22",NA,NA,NA,NA
"B8_23",NA,NA,NA,NA
"B8_24",NA,NA,NA,NA
"B8_31",NA,NA,NA,NA
"B8_32",NA,NA,NA,NA
"B8_33",NA,NA,NA,NA
"B8_34",NA,NA,NA,NA
"B8_41",NA,NA,NA,NA
"B8_42",NA,NA,NA,NA
"B8_43",NA,NA,NA,NA
"B8_44",NA,NA,NA,NA
"C1_11",NA,NA,NA,NA
"C1_12",NA,NA,NA,NA
"C1_13",NA,NA,NA,NA
"C1_14",NA,NA,NA,NA
"C1_21",NA,NA,NA,NA
"C1_22",NA,NA,NA,NA
"C1_23",NA,NA,NA,NA
"C1_24",NA,NA,NA,NA
"C1_31",NA,NA,NA,NA
"C1_32",NA,NA,NA,NA
"C1_33",NA,NA,NA,NA
"C1_34",NA,NA,NA,NA
"C1_41",NA,NA,NA,NA
"C1_42",NA,NA,NA,NA
"C1_43",NA,NA,NA,NA
"C1_44",NA,NA,NA,NA
"C2_11","335","6.69353137128279","0.069794251497006","0.90157955110054"
"C2_12","458","9.15115632252991","0.0514690590809628","0.616953801878199"
"C2_13","134","2.67741254851312","0.163254736842105","1.49970980395682"
"C2_14","461","9.21109839451154","0.0522398260869565","0.757712293891089"
"C2_21",NA,NA,NA,NA
"C2_22","262","5.23494095306296","0.0868738697318008","1.02669218234055"
"C2_23","1","0.0199806906605456","NaN",NA
"C2_24","97","1.93812699407293","0.235960833333333","1.79735691079732"
"C2_31","257","5.13503749976023","0.0887478125","1.03231798251822"
"C2_32","2","0.0399613813210913","19.9064",NA
"C2_33","340","6.79343482458552","0.0650199410029499","0.947353617797411"
"C2_34","4","0.0799227626421826","6.64304","11.4829426004313"
"C2_41","9","0.179826215944911","2.49138","7.02212185781884"
"C2_42",NA,NA,NA,NA
"C2_43","255","5.09507611843914","0.0908258267716536","1.04420255469385"
"C2_44","43","0.859169698403463","0.497476190476191","2.90892937436418"
"C3_11","319","6.37384032071406","0.096177358490566","0.718049477131906"
"C3_12","506","10.1102294742361","0.0606821386138614","0.554018166636863"
"C3_13","91","1.81824285010965","0.326461333333333","1.54016752254108"
"C3_14","945","18.8817526742156","0.032324406779661","0.405268016087747"
"C3_21","884","17.6629305439224","0.0347367610419026","0.419788382738272"
"C3_22",NA,NA,NA,NA
"C3_23","26","0.519497957174187","1.1917024","2.64533553002463"
"C3_24","916","18.3023126450598","0.0335084590163934","0.413832303383859"
"C3_31","3","0.0599420719816369","12.22964","6.63577287736703"
"C3_32","434","8.67161974667681","0.0704522863741339","0.619527240187129"
"C3_33","371","7.41283623506243","0.0827238918918919","0.64415793002499"
"C3_34","39","0.77924693576128","0.772528421052632","2.22835229360235"
"C3_41","647","12.927506857373","0.047445572755418","0.489196651383219"
"C3_42","235","4.69546230522823","0.127373675213675","0.897564293999027"
"C3_43",NA,NA,NA,NA
"C3_44",NA,NA,NA,NA
"C4_11",NA,NA,NA,NA
"C4_12",NA,NA,NA,NA
"C4_13",NA,NA,NA,NA
"C4_14",NA,NA,NA,NA
"C4_21",NA,NA,NA,NA
"C4_22",NA,NA,NA,NA
"C4_23",NA,NA,NA,NA
"C4_24",NA,NA,NA,NA
"C4_31",NA,NA,NA,NA
"C4_32",NA,NA,NA,NA
"C4_33",NA,NA,NA,NA
"C4_34",NA,NA,NA,NA
"C4_41",NA,NA,NA,NA
"C4_42",NA,NA,NA,NA
"C4_43",NA,NA,NA,NA
"C4_44",NA,NA,NA,NA
"C5_11",NA,NA,NA,NA
"C5_12",NA,NA,NA,NA
"C5_13",NA,NA,NA,NA
"C5_14",NA,NA,NA,NA
"C5_21",NA,NA,NA,NA
"C5_22",NA,NA,NA,NA
"C5_23",NA,NA,NA,NA
"C5_24",NA,NA,NA,NA
"C5_31",NA,NA,NA,NA
"C5_32",NA,NA,NA,NA
"C5_33",NA,NA,NA,NA
"C5_34",NA,NA,NA,NA
"C5_41",NA,NA,NA,NA
"C5_42",NA,NA,NA,NA
"C5_43",NA,NA,NA,NA
"C5_44",NA,NA,NA,NA
"C6_11","10","0.199806906605456","5.10997333333333","11.5248778193957"
"C6_12","369","7.37287485374134","0.130827391304348","0.411334386226533"
"C6_13","81","1.6184359435042","0.566496","1.48300123515709"
"C6_14",NA,NA,NA,NA
"C6_21","399","7.97229557355771","0.123853668341709","0.428044076289416"
"C6_22","239","4.77538506787041","0.197783193277311","0.763801033954477"
"C6_23",NA,NA,NA,NA
"C6_24",NA,NA,NA,NA
"C6_31","277","5.53465131297114","0.178169565217391","0.524867083851098"
"C6_32",NA,NA,NA,NA
"C6_33",NA,NA,NA,NA
"C6_34",NA,NA,NA,NA
"C6_41","269","5.37480578768678","0.184775820895522","0.492635060692667"
"C6_42","223","4.45569401730168","0.221504864864865","0.577179346304648"
